source_id,relation,target_id,weight,source,target
N10,associated_with,N1079,1,lymphedema,edema
N10,associated_with,N1285,1,lymphedema,blood
N10,associated_with,N1995,1,lymphedema,lymph
N10,associated_with,N1996,1,lymphedema,lymphatic system
N10,associated_with,N3288,1,lymphedema,lip
N10,associated_with,N3973,1,lymphedema,lipid a
N10,associated_with,N7617,1,lymphedema,association
N100,associated_with,N1203,6,pulmonary embolism,embolism
N100,associated_with,N1285,1,pulmonary embolism,blood
N100,associated_with,N1302,1,pulmonary embolism,thromboembolism
N100,associated_with,N1326,1,pulmonary embolism,mortality
N100,associated_with,N1464,1,pulmonary embolism,dihydroergotamine
N100,associated_with,N1920,1,pulmonary embolism,ear
N100,associated_with,N2131,1,pulmonary embolism,blood transfusion
N100,associated_with,N2622,1,pulmonary embolism,ergotamine
N100,associated_with,N292,4,pulmonary embolism,thrombosis
N100,associated_with,N3768,1,pulmonary embolism,incidence
N100,associated_with,N5742,1,pulmonary embolism,michigan
N100,associated_with,N6685,1,pulmonary embolism,medicaid
N100,associated_with,N886,1,pulmonary embolism,morbidity
N100,causes,N1203,6,pulmonary embolism,embolism
N100,causes,N1326,3,pulmonary embolism,mortality
N100,causes,N1370,1,pulmonary embolism,bronchi
N100,causes,N1464,1,pulmonary embolism,dihydroergotamine
N100,causes,N1657,1,pulmonary embolism,fibrin
N100,causes,N1892,1,pulmonary embolism,rna
N100,causes,N1920,1,pulmonary embolism,ear
N100,causes,N2557,1,pulmonary embolism,ions
N100,causes,N2622,1,pulmonary embolism,ergotamine
N100,causes,N3016,2,pulmonary embolism,patients
N100,causes,N37,1,pulmonary embolism,heart
N100,causes,N3793,1,pulmonary embolism,cations
N100,causes,N42,1,pulmonary embolism,tin
N100,causes,N4235,2,pulmonary embolism,disease
N100,causes,N448,1,pulmonary embolism,pneumonia
N100,causes,N5344,4,pulmonary embolism,death
N100,causes,N635,1,pulmonary embolism,carcinoma
N100,causes,N720,1,pulmonary embolism,heart failure
N100,treated_by,N1079,1,pulmonary embolism,edema
N100,treated_by,N1117,1,pulmonary embolism,dexamethasone
N100,treated_by,N1186,1,pulmonary embolism,infarction
N100,treated_by,N1203,7,pulmonary embolism,embolism
N100,treated_by,N1733,1,pulmonary embolism,shock
N100,treated_by,N1920,1,pulmonary embolism,ear
N100,treated_by,N200,1,pulmonary embolism,calcium
N100,treated_by,N2135,4,pulmonary embolism,plasminogen
N100,treated_by,N2228,1,pulmonary embolism,rest
N100,treated_by,N237,1,pulmonary embolism,pregnancy
N100,treated_by,N2557,1,pulmonary embolism,ions
N100,treated_by,N292,1,pulmonary embolism,thrombosis
N100,treated_by,N3016,2,pulmonary embolism,patients
N100,treated_by,N3463,1,pulmonary embolism,thrombin
N100,treated_by,N3793,1,pulmonary embolism,cations
N100,treated_by,N39,1,pulmonary embolism,myocardial infarction
N100,treated_by,N42,1,pulmonary embolism,tin
N100,treated_by,N4224,3,pulmonary embolism,tissue plasminogen activator
N100,treated_by,N448,1,pulmonary embolism,pneumonia
N100,treated_by,N453,1,pulmonary embolism,antithrombin iii
N100,treated_by,N454,2,pulmonary embolism,heparin
N100,treated_by,N634,1,pulmonary embolism,antithrombin iii deficiency
N1005,causes,N1733,1,cerebellum,shock
N1005,causes,N1835,1,cerebellum,temperature
N1005,causes,N1892,1,cerebellum,rna
N1005,causes,N567,1,cerebellum,fever
N1005,causes,N621,1,cerebellum,brain
N1005,causes,N855,1,cerebellum,pons
N1006,associated_with,N106,4,cerebral arteries,arteries
N1006,associated_with,N1212,1,cerebral arteries,hemorrhage
N1006,associated_with,N1235,2,cerebral arteries,arachnoid
N1006,associated_with,N1622,1,cerebral arteries,necrosis
N1006,associated_with,N2069,1,cerebral arteries,subarachnoid hemorrhage
N1006,associated_with,N2557,2,cerebral arteries,ions
N1006,associated_with,N3793,1,cerebral arteries,cations
N1006,associated_with,N3897,1,cerebral arteries,fibrosis
N1006,associated_with,N4235,1,cerebral arteries,disease
N1006,associated_with,N429,1,cerebral arteries,arteritis
N1006,associated_with,N4385,1,cerebral arteries,genes
N1006,associated_with,N49,1,cerebral arteries,hypertension
N1006,associated_with,N795,2,cerebral arteries,spasm
N1006,causes,N106,1,cerebral arteries,arteries
N1006,causes,N1235,1,cerebral arteries,arachnoid
N1006,causes,N1622,1,cerebral arteries,necrosis
N1006,causes,N2557,1,cerebral arteries,ions
N1006,causes,N3897,1,cerebral arteries,fibrosis
N1006,causes,N429,1,cerebral arteries,arteritis
N1012,associated_with,N121,1,coma,seizures
N1012,associated_with,N1326,1,coma,mortality
N1012,associated_with,N1485,4,coma,sarcoma
N1012,associated_with,N1515,1,coma,vomiting
N1012,associated_with,N1553,1,coma,cell count
N1012,associated_with,N1588,2,coma,glaucoma
N1012,associated_with,N1625,1,coma,urea
N1012,associated_with,N170,2,coma,infant
N1012,associated_with,N18,2,coma,syndrome
N1012,associated_with,N1871,1,coma,central nervous system
N1012,associated_with,N1920,2,coma,ear
N1012,associated_with,N1995,1,coma,lymph
N1012,associated_with,N21,1,coma,cyclic amp
N1012,associated_with,N2189,1,coma,steroids
N1012,associated_with,N2557,2,coma,ions
N1012,associated_with,N2870,1,coma,head
N1012,associated_with,N294,1,coma,vasodilation
N1012,associated_with,N3016,1,coma,patients
N1012,associated_with,N313,1,coma,bradycardia
N1012,associated_with,N3153,1,coma,vinyl chloride
N1012,associated_with,N3599,1,coma,nervous system
N1012,associated_with,N4055,1,coma,asia
N1012,associated_with,N42,3,coma,tin
N1012,associated_with,N460,1,coma,hypothermia
N1012,associated_with,N4794,1,coma,failure to thrive
N1012,associated_with,N49,1,coma,hypertension
N1012,associated_with,N4917,1,coma,arsenic
N1012,associated_with,N5344,2,coma,death
N1012,associated_with,N5824,1,coma,metabolism
N1012,associated_with,N615,1,coma,creatinine
N1012,associated_with,N6496,1,coma,cytomegalovirus
N1012,associated_with,N742,1,coma,lymphoma
N1012,associated_with,N886,1,coma,morbidity
N1012,associated_with,N901,1,coma,filtration
N1012,associated_with,N930,1,coma,hypotension
N1012,causes,N1079,1,coma,edema
N1012,causes,N1285,1,coma,blood
N1012,causes,N1485,1,coma,sarcoma
N1012,causes,N2189,1,coma,steroids
N1012,causes,N2557,1,coma,ions
N1012,causes,N3016,2,coma,patients
