node_id,node_name,mesh_ui,node_type
N1,"diagnosis, differential",D003937,Technique
N2,glomus tumor,D005918,Disease
N3,hemangioendothelioma,D006390,Disease
N4,hemangioma,D006391,Disease
N5,"hemangioma, cavernous",D006392,Disease
N6,hemangiopericytoma,D006393,Disease
N7,humans,D006801,Other
N8,lymphangioma,D008202,Disease
N9,lymphangiosarcoma,D008204,Disease
N10,lymphedema,D008209,Disease
N11,mastectomy,D008408,Technique
N12,"neoplasms, vascular tissue",D009383,Disease
N13,nevus,D009506,Disease
N14,postoperative complications,D011183,Disease
N15,"sarcoma, kaposi",D012514,Disease
N16,skin,D012867,Anatomy
N17,skin neoplasms,D012878,Disease
N18,syndrome,D013577,Disease
N19,animals,D000818,Other
N20,coronary disease,D003327,Disease
N21,cyclic amp,D000242,Chemical
N22,cyclic gmp,D006152,Chemical
N23,"disease models, animal",D004195,Disease
N24,hypoxia,D000860,Disease
N25,in vitro techniques,D066298,Technique
N26,male,D008297,
N27,methylprednisolone,D008775,Chemical
N28,myocardial contraction,D009200,Biological_Process
N29,myocardium,D009206,Anatomy
N30,rats,D051381,Other
N31,acute disease,D000208,Disease
N32,adult,D000328,Other
N33,aged,D000368,Other
N34,diphosphates,D011756,Chemical
N35,evaluation studies as topic,D005069,Technique
N36,female,D005260,
N37,heart,D006321,Anatomy
N38,middle aged,D008875,Other
N39,myocardial infarction,D009203,Disease
N40,radionuclide imaging,D011877,Technique
N41,technetium,D013667,Chemical
N42,tin,D014001,Chemical
N43,coronary artery bypass,D001026,Technique
N44,postoperative care,D011182,Technique
N45,preoperative care,D011300,Technique
N46,risk,D012306,Technique
N47,epinephrine,D004837,Chemical
N48,furosemide,D005665,Chemical
N49,hypertension,D006973,Disease
N50,"nucleotides, cyclic",D009712,Chemical
N51,physical exertion,D005082,Biological_Process
N52,time factors,D013997,Biological_Process
N53,coronary circulation,D003326,Biological_Process
N54,methods,D008722,Technique
N55,antibodies,D000906,Chemical
N56,"hypertension, renal",D006977,Disease
N57,"hypertension, renovascular",D006978,Disease
N58,peptidyl-dipeptidase a,D007703,Chemical
N59,rabbits,D011817,Other
N60,bone marrow,D001853,Anatomy
N61,clone cells,D002999,Anatomy
N62,"leukemia, myeloid, acute",D015470,Disease
N63,"leukemia, radiation-induced",D007953,Disease
N64,melphalan,D008558,Chemical
N65,multiple myeloma,D009101,Disease
N66,plasma cells,D010950,Anatomy
N67,radiotherapy,D011878,Technique
N68,retrospective studies,D012189,Technique
N69,cardiac volume,D002306,Biological_Process
N70,heart ventricles,D006352,Anatomy
N71,radiography,D011859,Technique
N72,bandages,D001458,Technique
N73,biological dressings,D001684,Technique
N74,collagen,D003094,Chemical
N75,gels,D005782,Chemical
N76,leg ulcer,D007871,Disease
N77,varicose ulcer,D014647,Disease
N78,wound healing,D014945,Biological_Process
N79,"administration, oral",D000284,Technique
