mesh_ui,mesh_name,node_type
D001829,body regions,Anatomy
D059925,anatomic landmarks,Anatomy
D001940,breast,Anatomy
D042361,"mammary glands, human",Anatomy
D009558,nipples,Anatomy
D005121,extremities,Anatomy
D000672,amputation stumps,Anatomy
D035002,lower extremity,Anatomy
D000842,ankle,Anatomy
D002081,buttocks,Anatomy
D005528,foot,Anatomy
D005545,"forefoot, human",Anatomy
D008684,metatarsus,Anatomy
D014034,toes,Anatomy
D006214,hallux,Anatomy
D006365,heel,Anatomy
D006615,hip,Anatomy
D007717,knee,Anatomy
D007866,leg,Anatomy
D013848,thigh,Anatomy
D034941,upper extremity,Anatomy
D001132,arm,Anatomy
D001365,axilla,Anatomy
D004550,elbow,Anatomy
D005542,forearm,Anatomy
D006225,hand,Anatomy
D005385,fingers,Anatomy
D013933,thumb,Anatomy
D008663,metacarpus,Anatomy
D012782,shoulder,Anatomy
D014953,wrist,Anatomy
D006257,head,Anatomy
D004423,ear,Anatomy
D005145,face,Anatomy
D002610,cheek,Anatomy
D002680,chin,Anatomy
D005123,eye,Anatomy
D005138,eyebrows,Anatomy
D005143,eyelids,Anatomy
D005140,eyelashes,Anatomy
D005546,forehead,Anatomy
D009055,mouth,Anatomy
D008046,lip,Anatomy
D060052,nasolabial fold,Anatomy
D009666,nose,Anatomy
D035421,parotid region,Anatomy
D000069259,superficial musculoaponeurotic system,Anatomy
D012535,scalp,Anatomy
D019291,skull base,Anatomy
D035262,"cranial fossa, anterior",Anatomy
D035301,"cranial fossa, middle",Anatomy
D003388,"cranial fossa, posterior",Anatomy
D000080869,jugular foramina,Anatomy
D000080884,infratemporal fossa,Anatomy
D000080886,parapharyngeal space,Anatomy
D009333,neck,Anatomy
D058958,organs at risk,Anatomy
D010502,perineum,Anatomy
D060726,torso,Anatomy
D000005,abdomen,Anatomy
D034841,abdominal cavity,Anatomy
D010537,peritoneum,Anatomy
D004312,douglas' pouch,Anatomy
D008643,mesentery,Anatomy
D008646,mesocolon,Anatomy
D009852,omentum,Anatomy
D010529,peritoneal cavity,Anatomy
D054048,peritoneal stomata,Anatomy
D012187,retroperitoneal space,Anatomy
D034861,abdominal wall,Anatomy
D006119,groin,Anatomy
D007264,inguinal canal,Anatomy
D014472,umbilicus,Anatomy
D000090043,abdominal core,Anatomy
D003964,diaphragm,Anatomy
D017773,pelvic floor,Anatomy
D001415,back,Anatomy
D008161,lumbosacral region,Anatomy
D012445,sacrococcygeal region,Anatomy
D010388,pelvis,Anatomy
D057892,lesser pelvis,Anatomy
D013909,thorax,Anatomy
D035423,thoracic cavity,Anatomy
D008482,mediastinum,Anatomy
D035422,pleural cavity,Anatomy
D035441,thoracic wall,Anatomy
D060053,transplant donor site,Anatomy
D019737,transplants,Anatomy
D064591,allografts,Anatomy
D000078422,allogeneic cells,Anatomy
D064592,autografts,Anatomy
D064594,bone-patellar tendon-bone grafts,Anatomy
D064595,composite tissue allografts,Anatomy
D064593,heterografts,Anatomy
D064596,isografts,Anatomy
D061028,trigger points,Anatomy
D014781,viscera,Anatomy
D009141,musculoskeletal system,Anatomy
D000070606,aponeurosis,Anatomy
D002356,cartilage,Anatomy
D051472,elastic cartilage,Anatomy
D004425,ear cartilage,Anatomy
D007817,laryngeal cartilages,Anatomy
D001193,arytenoid cartilage,Anatomy
D003413,cricoid cartilage,Anatomy
D004825,epiglottis,Anatomy
D013957,thyroid cartilage,Anatomy
D051445,fibrocartilage,Anatomy
D007403,intervertebral disc,Anatomy
D000070616,annulus fibrosus,Anatomy
D000070614,nucleus pulposus,Anatomy
D000072600,meniscus,Anatomy
D008592,"menisci, tibial",Anatomy
D053401,palmar plate,Anatomy
D000069262,plantar plate,Anatomy
D051478,triangular fibrocartilage,Anatomy
D051457,hyaline cartilage,Anatomy
D002358,"cartilage, articular",Anatomy
D066186,costal cartilage,Anatomy
D055171,nasal cartilages,Anatomy
D005205,fascia,Anatomy
D005206,fascia lata,Anatomy
D058475,tenon capsule,Anatomy
D008022,ligaments,Anatomy
D001956,broad ligament,Anatomy
D008023,"ligaments, articular",Anatomy
D016118,anterior cruciate ligament,Anatomy
D017885,collateral ligaments,Anatomy
D000070637,"collateral ligament, ulnar",Anatomy
D017844,"lateral ligament, ankle",Anatomy
D017888,"medial collateral ligament, knee",Anatomy
D017843,ligamentum flavum,Anatomy
D017846,longitudinal ligaments,Anatomy
D017847,patellar ligament,Anatomy
D016119,posterior cruciate ligament,Anatomy
D000069593,round ligament of femur,Anatomy
D000069590,round ligaments,Anatomy
D000069592,round ligament of liver,Anatomy
D012404,round ligament of uterus,Anatomy
D009132,muscles,Anatomy
D018482,"muscle, skeletal",Anatomy
D000009,abdominal muscles,Anatomy
D000071596,abdominal oblique muscles,Anatomy
D017568,rectus abdominis,Anatomy
D064131,back muscles,Anatomy
D064169,intermediate back muscles,Anatomy
D064170,paraspinal muscles,Anatomy
D064171,superficial back muscles,Anatomy
D057645,deltoid muscle,Anatomy
D005152,facial muscles,Anatomy
D000071976,gracilis muscle,Anatomy
D000070633,hamstring muscles,Anatomy
D007821,laryngeal muscles,Anatomy
D008410,masticatory muscles,Anatomy
D008406,masseter muscle,Anatomy
D011626,pterygoid muscles,Anatomy
D013703,temporal muscle,Anatomy
D009334,neck muscles,Anatomy
D009801,oculomotor muscles,Anatomy
D010156,palatal muscles,Anatomy
D010369,pectoralis muscles,Anatomy
D010609,pharyngeal muscles,Anatomy
D049631,"esophageal sphincter, upper",Anatomy
D055158,velopharyngeal sphincter,Anatomy
D016658,psoas muscles,Anatomy
D052097,quadriceps muscle,Anatomy
D012132,respiratory muscles,Anatomy
D007366,intercostal muscles,Anatomy
D017006,rotator cuff,Anatomy
D013198,stapedius,Anatomy
D013719,tensor tympani,Anatomy
D009130,"muscle, smooth",Anatomy
D049630,"esophageal sphincter, lower",Anatomy
D009131,"muscle, smooth, vascular",Anatomy
D009215,myometrium,Anatomy
D009206,myocardium,Anatomy
D010210,papillary muscles,Anatomy
D000094364,myotendinous junction,Anatomy
D012863,skeleton,Anatomy
D001842,bone and bones,Anatomy
D000069343,bone-implant interface,Anatomy
D050281,bones of lower extremity,Anatomy
D005269,femur,Anatomy
D005270,femur head,Anatomy
D005272,femur neck,Anatomy
D005529,foot bones,Anatomy
